team_id,oe,de,tempo
334,121.37,90.72,74.7
21,117.41,92.51,72.24
6,114.53,88.89,66.1
268,114.76,89.87,69.61
108,115.95,90.23,69.2
253,115.25,91.7,66.9
277,111.27,87.4,69.04
106,112.09,89.14,70.79
247,114.31,92.43,72.9
26,114.45,92.65,70.2
109,110.9,88.6,65.77
276,110.63,88.57,73.1
93,111.62,90.06,69.22
61,111.47,91.12,69.7
212,104.9,99.84,69.5
58,111.54,91.47,65.25
102,111.04,91.01,69.66
111,108.43,87.83,68.47
279,110.26,90.23,72.1
114,110.74,90.85,67.94
275,111.56,91.92,74.5
271,111.88,92.43,70.7
94,114.29,95.51,67.91
44,111.5,92.07,66.2
3,110.7,91.08,67.5
22,110.19,90.48,61.56
97,112.11,92.96,69.9
245,112.86,94.32,69.38
246,111.43,92.68,68.77
91,114.1,96.19,71.77
95,110.9,92.78,68.97
25,113.17,96.47,68.3
113,107.0,89.5,70.66
134,111.8,96.03,69.95
31,109.62,93.43,66.1
59,110.24,94.6,70.45
98,110.28,94.69,67.54
105,109.0,93.6,67.07
54,110.21,95.53,69.87
7,106.16,91.06,72.55
60,108.42,94.06,68.35
4,108.35,94.04,69.6
254,107.63,94.24,68.83
270,108.1,93.9,67.93
23,110.6,97.18,69.81
67,108.12,94.06,75.44
141,107.7,93.68,63.48
335,105.55,91.1,65.47
280,110.7,97.74,69.36
336,107.08,93.23,70.1
269,106.98,93.39,68.47
103,106.45,92.76,67.75
30,111.66,99.63,69.86
211,109.98,97.5,68.5
96,105.83,92.27,67.71
283,110.76,98.7,67.9
29,107.55,94.73,70.5
92,108.58,96.21,69.5
45,103.52,89.89,70.88
219,106.49,93.75,67.54
274,106.49,93.86,66.58
209,109.35,97.82,69.55
220,106.35,94.18,69.22
65,107.23,95.34,72.86
107,106.89,95.02,70.41
256,105.56,93.4,69.2
63,106.98,95.63,67.89
84,108.95,98.2,66.31
250,105.32,93.63,69.3
27,106.79,95.57,67.8
35,106.09,95.6,66.9
10,107.92,98.05,69.97
2,106.08,95.83,69.35
255,103.66,92.76,71.1
100,105.72,95.63,69.67
144,107.95,98.59,70.34
101,105.91,96.0,63.99
215,103.57,93.28,67.9
24,104.3,94.5,68.78
278,104.81,95.5,67.46
183,108.6,100.32,70.7
145,107.19,98.78,69.8
249,103.6,94.27,73.86
273,104.06,94.88,70.17
217,106.09,97.52,68.7
213,104.0,95.1,64.9
119,107.08,99.03,67.46
345,105.94,97.7,66.64
320,111.13,104.44,72.56
32,104.61,96.21,70.2
110,101.16,92.04,68.28
33,108.57,101.49,69.47
56,106.33,98.68,66.8
66,104.22,96.06,70.8
112,104.39,96.63,69.2
34,105.36,98.15,71.82
177,106.72,99.94,65.3
52,104.34,97.04,69.45
267,101.53,93.48,67.36
214,108.14,101.9,72.95
49,107.03,100.52,66.2
8,103.45,96.0,69.45
28,104.87,98.0,67.06
248,106.13,99.79,68.52
338,104.1,97.41,70.63
210,103.48,96.72,68.9
127,104.67,98.6,67.02
314,107.26,101.9,71.52
205,101.92,95.11,65.23
261,105.94,100.43,70.3
1,103.3,97.08,70.74
202,101.1,94.75,68.99
64,102.93,97.15,69.0
15,103.75,98.3,67.42
137,103.89,98.62,70.39
272,103.39,98.18,67.9
341,104.63,99.84,72.83
167,103.84,99.2,70.42
233,103.73,99.12,71.5
344,103.11,98.35,71.0
104,103.44,98.93,67.11
74,105.36,101.49,69.59
286,103.36,99.03,64.3
99,102.52,98.02,73.57
218,103.15,99.15,68.31
178,102.73,98.87,69.18
207,102.76,98.91,71.19
50,101.17,97.1,69.04
291,102.01,98.23,71.62
126,104.38,101.42,71.81
321,107.54,105.46,68.8
161,104.94,102.17,70.3
340,103.57,100.53,71.06
348,102.87,99.7,69.35
37,102.8,99.62,63.5
281,102.87,99.77,70.9
11,100.48,96.77,67.35
87,104.33,101.71,68.16
251,100.82,97.26,66.3
296,101.27,98.04,72.4
78,106.87,105.2,70.86
158,100.52,97.24,70.44
289,106.02,104.54,73.88
62,103.65,101.56,72.0
116,99.48,96.3,67.98
135,101.57,99.17,69.89
82,103.18,101.29,70.32
115,101.31,99.51,68.0
160,104.46,103.6,68.75
216,103.15,102.1,72.22
47,100.83,99.22,67.55
55,106.25,106.32,73.67
285,102.67,101.8,66.77
295,99.77,98.22,68.9
324,102.03,101.14,67.83
343,104.13,103.89,67.92
51,101.04,100.0,68.8
136,102.12,101.38,74.72
208,103.38,103.0,69.69
347,99.27,97.77,72.07
16,102.33,102.0,70.16
128,103.53,103.79,71.02
117,102.16,102.09,73.49
142,103.61,104.02,66.9
315,101.47,101.3,70.4
180,101.18,101.0,70.0
46,100.53,100.34,71.24
154,102.15,107.47,68.0
337,102.15,102.53,72.33
206,100.09,100.0,69.39
68,102.42,103.04,67.77
133,102.26,102.93,68.9
70,105.55,107.2,71.2
394,102.57,103.45,70.2
139,99.83,100.11,68.98
80,103.82,105.3,69.7
5,98.9,99.11,70.4
179,102.43,103.6,73.8
120,99.66,100.1,67.29
170,101.36,102.4,66.1
331,99.59,100.18,67.1
231,102.62,104.07,74.6
155,105.39,107.6,68.8
131,100.3,101.43,67.14
332,99.53,100.51,65.13
138,97.27,97.67,67.25
123,101.1,102.56,69.7
40,102.81,104.8,70.5
258,97.21,97.68,66.64
240,99.36,100.5,69.51
204,102.01,103.89,67.54
162,101.9,103.8,71.8
238,101.43,103.25,67.7
57,100.32,101.84,69.75
124,102.73,104.92,69.24
174,102.31,104.4,71.45
71,95.91,109.3,69.52
129,100.72,102.64,75.5
48,100.66,102.57,69.2
146,103.55,106.4,70.23
191,99.02,100.75,69.03
284,101.4,103.9,67.77
184,100.75,103.2,68.6
164,97.97,99.75,69.6
149,102.37,105.4,69.66
330,99.79,102.15,68.32
75,102.75,106.0,70.7
242,99.99,102.5,67.1
302,99.99,102.52,71.99
173,100.56,103.43,69.62
328,98.55,100.87,70.6
118,98.82,101.32,69.66
81,99.35,102.0,70.6
226,99.86,102.7,64.95
38,100.39,103.54,70.5
750,98.62,101.45,76.1
140,100.82,104.39,70.2
83,96.61,99.1,69.1
236,97.26,99.97,67.22
333,97.8,100.9,69.54
53,92.73,94.64,68.4
150,100.37,104.46,71.76
292,98.35,101.97,71.36
90,97.53,101.26,65.1
252,102.03,107.0,68.25
282,99.6,103.93,67.3
1025,102.01,107.15,64.8
165,98.82,103.1,67.0
1024,96.91,100.8,65.75
163,96.7,100.85,70.3
171,95.85,104.9,69.91
9,97.0,101.3,69.0
148,98.0,102.63,68.03
42,100.98,106.43,69.1
36,100.25,105.61,69.73
339,99.35,104.5,70.16
188,101.51,107.27,69.9
221,98.16,103.02,65.4
168,97.8,102.7,68.35
20,100.26,105.84,69.1
1007,100.44,106.08,70.81
122,98.23,103.3,67.5
85,98.67,103.88,68.92
132,98.0,103.05,68.0
319,101.58,107.83,68.4
181,101.06,107.32,73.8
287,101.1,107.4,70.2
175,97.47,102.92,66.58
329,96.77,102.1,67.54
259,99.43,105.5,67.4
701,99.83,106.1,73.2
69,99.05,105.2,71.7
79,101.85,108.78,67.09
169,92.89,97.4,68.43
262,95.8,101.2,68.23
156,97.6,103.57,71.9
147,98.11,104.23,71.87
305,95.64,101.16,71.63
260,99.27,105.89,70.51
13,97.89,104.2,67.6
304,96.69,102.75,71.5
237,99.65,106.58,74.18
257,101.9,109.48,70.8
195,100.16,107.33,72.22
222,99.46,106.51,67.36
817,95.65,101.81,65.18
230,101.14,108.81,68.7
326,98.92,106.1,69.21
182,98.03,105.01,70.38
244,97.13,103.96,70.48
77,98.79,106.21,65.2
199,96.95,103.92,73.55
196,96.97,104.0,70.93
235,98.92,106.7,70.51
327,96.48,103.69,70.0
323,98.12,105.84,69.09
223,95.4,102.4,68.0
346,97.78,105.55,66.3
1212,95.01,102.1,72.1
12,100.14,108.7,70.08
225,97.84,105.79,69.8
197,99.54,108.0,69.12
86,97.64,105.6,66.02
43,99.03,107.59,70.63
157,97.64,105.85,70.86
265,97.87,106.17,67.9
89,94.76,102.28,66.82
1112,102.27,112.0,67.26
241,98.04,106.65,70.57
19,98.44,107.24,69.96
288,98.25,107.2,66.5
172,96.06,104.54,70.9
166,95.24,103.6,70.69
307,96.93,105.8,70.3
313,95.87,104.6,72.1
263,95.14,103.74,70.8
325,93.04,101.1,67.15
306,93.86,102.46,71.85
200,95.3,104.3,75.3
186,94.68,103.81,69.02
243,98.1,108.17,72.09
266,99.32,109.8,70.5
151,97.02,106.9,66.0
159,96.82,106.75,71.3
76,97.01,107.0,72.75
125,97.2,107.5,70.44
41,96.64,106.81,67.77
228,96.12,106.29,70.32
312,94.36,104.13,71.29
176,94.5,105.99,73.88
185,96.44,107.1,69.5
309,91.69,101.18,69.9
187,95.89,106.66,71.7
193,92.77,102.81,69.8
300,96.27,107.5,72.37
130,94.16,104.83,66.0
322,95.16,106.19,72.88
227,96.23,107.6,69.35
362,93.02,103.8,72.1
121,96.57,108.64,67.9
311,95.42,107.28,72.1
88,96.04,108.07,70.8
234,97.41,109.9,70.88
189,95.7,108.0,71.5
301,96.31,109.0,69.69
298,96.52,109.35,73.6
396,92.86,104.8,70.59
299,97.49,110.7,71.61
232,96.33,109.27,66.6
316,97.53,110.83,69.94
72,95.13,107.79,66.45
392,96.0,109.1,74.0
293,95.51,108.73,72.56
192,93.96,106.78,67.8
39,94.75,107.9,68.59
264,94.22,107.87,69.7
17,94.8,108.97,71.0
229,93.99,108.0,74.5
290,94.98,109.3,71.5
203,92.25,105.88,65.1
351,97.3,112.34,67.6
350,94.59,109.32,73.76
73,95.83,111.13,71.18
143,92.73,107.2,69.17
14,94.33,109.4,65.99
294,95.66,111.87,66.85
190,93.8,109.59,72.0
152,90.4,109.0,67.08
741,90.9,109.9,70.0
224,92.17,111.85,71.7
1213,90.28,109.5,67.8
239,88.64,107.65,66.7
303,89.54,108.99,68.06
198,88.9,109.0,68.5
201,89.26,110.28,70.4
18,90.1,111.9,69.3
308,90.01,113.61,68.94
310,90.11,113.55,68.9
317,83.54,112.1,64.34
-1,101.73,101.2,69.43
